dt_iso,Load Demand
2020-07-29 00:00:00 +0000 UTC,225.43
2020-07-29 01:00:00 +0000 UTC,215.8
2020-07-29 02:00:00 +0000 UTC,212.14
2020-07-29 03:00:00 +0000 UTC,211.78
2020-07-29 04:00:00 +0000 UTC,222.67
2020-07-29 05:00:00 +0000 UTC,246.96
2020-07-29 06:00:00 +0000 UTC,273.47
2020-07-29 07:00:00 +0000 UTC,300.64
2020-07-29 08:00:00 +0000 UTC,328.52
2020-07-29 09:00:00 +0000 UTC,330.36
2020-07-29 10:00:00 +0000 UTC,322.79
2020-07-29 11:00:00 +0000 UTC,315.46
2020-07-29 12:00:00 +0000 UTC,300.39
2020-07-29 13:00:00 +0000 UTC,296.79
2020-07-29 14:00:00 +0000 UTC,304.42
2020-07-29 15:00:00 +0000 UTC,319.14
2020-07-29 16:00:00 +0000 UTC,359
2020-07-29 17:00:00 +0000 UTC,369
2020-07-29 18:00:00 +0000 UTC,371.62
2020-07-29 19:00:00 +0000 UTC,353.36
2020-07-29 20:00:00 +0000 UTC,326.98
2020-07-29 21:00:00 +0000 UTC,298.27
2020-07-29 22:00:00 +0000 UTC,267.46
2020-07-29 23:00:00 +0000 UTC,241.22
2020-07-30 00:00:00 +0000 UTC,222.05
2020-07-30 01:00:00 +0000 UTC,208.55
2020-07-30 02:00:00 +0000 UTC,203.09
2020-07-30 03:00:00 +0000 UTC,202.22
2020-07-30 04:00:00 +0000 UTC,208.23
2020-07-30 05:00:00 +0000 UTC,226.43
2020-07-30 06:00:00 +0000 UTC,243.84
2020-07-30 07:00:00 +0000 UTC,257.63
2020-07-30 08:00:00 +0000 UTC,277.69
2020-07-30 09:00:00 +0000 UTC,286.37
2020-07-30 10:00:00 +0000 UTC,291.96
2020-07-30 11:00:00 +0000 UTC,289.34
2020-07-30 12:00:00 +0000 UTC,274.91
2020-07-30 13:00:00 +0000 UTC,276.3
2020-07-30 14:00:00 +0000 UTC,282.4
2020-07-30 15:00:00 +0000 UTC,296.63
2020-07-30 16:00:00 +0000 UTC,334.56
2020-07-30 17:00:00 +0000 UTC,344.73
2020-07-30 18:00:00 +0000 UTC,345.76
2020-07-30 19:00:00 +0000 UTC,328.36
2020-07-30 20:00:00 +0000 UTC,307.63
2020-07-30 21:00:00 +0000 UTC,285.33
2020-07-30 22:00:00 +0000 UTC,257.33
2020-07-30 23:00:00 +0000 UTC,232.96
2020-07-31 00:00:00 +0000 UTC,214.85
2020-07-31 01:00:00 +0000 UTC,205.64
2020-07-31 02:00:00 +0000 UTC,203.44
2020-07-31 03:00:00 +0000 UTC,204.66
2020-07-31 04:00:00 +0000 UTC,215.98
2020-07-31 05:00:00 +0000 UTC,241.6
2020-07-31 06:00:00 +0000 UTC,273.86
2020-07-31 07:00:00 +0000 UTC,301.05
2020-07-31 08:00:00 +0000 UTC,326.39
2020-07-31 09:00:00 +0000 UTC,335.34
2020-07-31 10:00:00 +0000 UTC,330.14
2020-07-31 11:00:00 +0000 UTC,319.58
2020-07-31 12:00:00 +0000 UTC,309.38
2020-07-31 13:00:00 +0000 UTC,308.1
2020-07-31 14:00:00 +0000 UTC,311.52
2020-07-31 15:00:00 +0000 UTC,324.83
2020-07-31 16:00:00 +0000 UTC,360.11
2020-07-31 17:00:00 +0000 UTC,363.56
2020-07-31 18:00:00 +0000 UTC,354.81
2020-07-31 19:00:00 +0000 UTC,328.56
2020-07-31 20:00:00 +0000 UTC,301.93
2020-07-31 21:00:00 +0000 UTC,280.15
2020-07-31 22:00:00 +0000 UTC,261.18
2020-07-31 23:00:00 +0000 UTC,256.62
