dt_iso,temp
2020-07-29 00:00:00 +0000 UTC,31.6
2020-07-29 01:00:00 +0000 UTC,31.08
2020-07-29 02:00:00 +0000 UTC,30.5
2020-07-29 03:00:00 +0000 UTC,30.39
2020-07-29 04:00:00 +0000 UTC,30.5
2020-07-29 05:00:00 +0000 UTC,34.11
2020-07-29 06:00:00 +0000 UTC,35.32
2020-07-29 07:00:00 +0000 UTC,36.64
2020-07-29 08:00:00 +0000 UTC,39.26
2020-07-29 09:00:00 +0000 UTC,40.48
2020-07-29 10:00:00 +0000 UTC,41.15
2020-07-29 11:00:00 +0000 UTC,42.26
2020-07-29 12:00:00 +0000 UTC,42.81
2020-07-29 13:00:00 +0000 UTC,42.9
2020-07-29 14:00:00 +0000 UTC,40.6
2020-07-29 15:00:00 +0000 UTC,39.71
2020-07-29 16:00:00 +0000 UTC,39.33
2020-07-29 17:00:00 +0000 UTC,38.04
2020-07-29 18:00:00 +0000 UTC,35.46
2020-07-29 19:00:00 +0000 UTC,35.51
2020-07-29 20:00:00 +0000 UTC,34.06
2020-07-29 21:00:00 +0000 UTC,34.58
2020-07-29 22:00:00 +0000 UTC,34.7
2020-07-29 23:00:00 +0000 UTC,34.61
2020-07-30 00:00:00 +0000 UTC,32.61
2020-07-30 01:00:00 +0000 UTC,32.72
2020-07-30 02:00:00 +0000 UTC,30.74
2020-07-30 03:00:00 +0000 UTC,30.63
2020-07-30 04:00:00 +0000 UTC,30.74
2020-07-30 05:00:00 +0000 UTC,33.55
2020-07-30 06:00:00 +0000 UTC,35.41
2020-07-30 07:00:00 +0000 UTC,36.72
2020-07-30 08:00:00 +0000 UTC,39.28
2020-07-30 09:00:00 +0000 UTC,40.5
2020-07-30 10:00:00 +0000 UTC,41.18
2020-07-30 11:00:00 +0000 UTC,43.31
2020-07-30 12:00:00 +0000 UTC,43.26
2020-07-30 13:00:00 +0000 UTC,43.31
2020-07-30 14:00:00 +0000 UTC,42.83
2020-07-30 15:00:00 +0000 UTC,42.73
2020-07-30 16:00:00 +0000 UTC,42.2
2020-07-30 17:00:00 +0000 UTC,39.99
2020-07-30 18:00:00 +0000 UTC,39.22
2020-07-30 19:00:00 +0000 UTC,38.09
2020-07-30 20:00:00 +0000 UTC,36.09
2020-07-30 21:00:00 +0000 UTC,35.33
2020-07-30 22:00:00 +0000 UTC,34.82
2020-07-30 23:00:00 +0000 UTC,33.05
2020-07-31 00:00:00 +0000 UTC,32.29
2020-07-31 01:00:00 +0000 UTC,31.15
2020-07-31 02:00:00 +0000 UTC,30.24
2020-07-31 03:00:00 +0000 UTC,29.5
2020-07-31 04:00:00 +0000 UTC,29.61
2020-07-31 05:00:00 +0000 UTC,33.12
2020-07-31 06:00:00 +0000 UTC,34.33
2020-07-31 07:00:00 +0000 UTC,35.65
2020-07-31 08:00:00 +0000 UTC,38.88
2020-07-31 09:00:00 +0000 UTC,39.47
2020-07-31 10:00:00 +0000 UTC,40.14
2020-07-31 11:00:00 +0000 UTC,41.72
2020-07-31 12:00:00 +0000 UTC,42.9
2020-07-31 13:00:00 +0000 UTC,42.98
2020-07-31 14:00:00 +0000 UTC,42.77
2020-07-31 15:00:00 +0000 UTC,42.06
2020-07-31 16:00:00 +0000 UTC,41.5
2020-07-31 17:00:00 +0000 UTC,38.78
2020-07-31 18:00:00 +0000 UTC,38
2020-07-31 19:00:00 +0000 UTC,36.88
2020-07-31 20:00:00 +0000 UTC,34.07
2020-07-31 21:00:00 +0000 UTC,33.31
2020-07-31 22:00:00 +0000 UTC,32.8
2020-07-31 23:00:00 +0000 UTC,30.91
